Zip,Population,County,State,WiredCount_2020,Fwcount_2020,BroadbandProviderCount,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan
45014,43917.00,Butler,Ohio,5,0,5,11,3,2,5,2,27624,123.06,302.13,1.00,39.99
45015,12038.00,Butler,Ohio,4,0,4,10,4,3,6,3,395,86.44,228.7,1.00,39.99
45042,26451.00,Butler,Ohio,8,2,10,16,4,3,6,3,2849,58.85,196.68,0.99,39.99
45044,52822.00,Butler,Ohio,8,0,8,14,7,5,9,5,20860,94.3,225.86,1.00,35
45050,8548.00,Butler,Ohio,5,0,5,11,4,2,6,2,1880,49.45,199.89,1.00,44.99
45053,3420.00,Butler,Ohio,4,1,5,11,3,2,5,2,808,51.13,147.61,1.00,39.99
45056,27038.00,Butler,Ohio,5,4,9,15,4,3,8,3,11154,58.27,177.32,1.00,39.99
45064,2857.00,Butler,Ohio,5,4,9,15,3,2,6,2,107,48.26,114.3,0.98,39.99
45067,13898.00,Butler,Ohio,5,2,7,13,5,2,7,2,2675,60.01,158.41,1.00,39.99
45069,49060.00,Butler,Ohio,5,0,5,11,3,2,5,2,39087,83.96,225.53,1.00,39.99
16016,NULL,Butler,Pennsylvania,,,0,,,,,,,,,,
16017,NULL,Butler,Pennsylvania,,,0,,,,,,,,,,
16018,NULL,Butler,Pennsylvania,,,0,,,,,,,,,,
16021,NULL,Butler,Pennsylvania,,,0,,,,,,,,,,
16045,1195.00,Butler,Pennsylvania,2,0,2,8,2,1,4,2,,,,0.94,76.95
16050,1546.00,Butler,Pennsylvania,2,0,2,6,2,1,4,2,,,,0.93,76.95
16061,2761.00,Butler,Pennsylvania,2,1,3,9,2,1,5,2,,,,0.94,65
16001,40371.00,Butler,Pennsylvania,4,2,6,12,3,2,6,3,58046,121.41,348.16,0.97,76.95
16002,15877.00,Butler,Pennsylvania,5,0,5,11,4,2,6,3,15956,63.22,142.9,0.98,76.95
16020,1150.00,Butler,Pennsylvania,4,0,4,9,2,1,4,1,250,10.16,34.09,0.92,76.95
16023,4169.00,Butler,Pennsylvania,4,1,5,11,4,2,6,3,1118,42.91,100.77,0.95,55
16025,5564.00,Butler,Pennsylvania,4,0,4,10,3,2,5,3,2376,96.06,267.26,0.97,76.95
16033,6165.00,Butler,Pennsylvania,5,1,6,12,3,2,6,3,8,12.79,27.34,0.91,65
16034,2054.00,Butler,Pennsylvania,3,1,4,9,2,1,4,2,24,17.71,85.51,0.95,76.95
16037,4589.00,Butler,Pennsylvania,5,0,5,11,3,2,5,3,1402,94.51,277.96,0.94,76.95
16038,3517.00,Butler,Pennsylvania,4,0,4,9,2,2,4,2,4932,355.69,474.83,0.82,55
16040,975.00,Butler,Pennsylvania,2,0,2,7,2,1,4,1,52,3.56,9.68,0.92,76.95
16041,1888.00,Butler,Pennsylvania,4,0,4,8,3,2,5,3,2344,44.77,153.78,0.93,76.95
16046,14396.00,Butler,Pennsylvania,5,0,5,11,4,3,6,4,28406,113.69,302.33,0.97,48.79
16051,3043.00,Butler,Pennsylvania,5,0,5,10,4,3,6,4,8076,74.47,103.44,0.92,55
16052,2447.00,Butler,Pennsylvania,3,0,3,8,3,2,5,3,74,19.91,38.08,0.91,76.95
16053,4020.00,Butler,Pennsylvania,2,0,2,8,2,1,4,2,4,22.13,22.38,0.98,76.95
16055,8486.00,Butler,Pennsylvania,7,1,8,14,5,4,7,5,8040,68.66,152.9,0.96,48.79
16056,4791.00,Butler,Pennsylvania,3,0,3,9,3,2,5,3,2004,76.59,237.22,0.99,76.95
16057,13909.00,Butler,Pennsylvania,5,0,5,10,4,3,6,4,9968,59.35,150.64,0.92,55
16059,7738.00,Butler,Pennsylvania,7,0,7,13,5,3,7,4,4130,129.57,300.05,0.97,48.79
16063,6559.00,Butler,Pennsylvania,5,0,5,11,2,2,4,3,15280,89.83,163.28,0.97,76.95
16066,28060.00,Butler,Pennsylvania,7,0,7,13,5,3,7,4,39396,112.26,301.98,1.00,48.79
30216,2159.00,Butts,Georgia,3,1,4,9,3,3,5,4,,,,0.96,55
30234,1934.00,Butts,Georgia,4,0,4,9,4,4,6,5,29,111.78,234.5,0.98,35
28025,49160.00,Cabarrus,North Carolina,5,0,5,11,4,3,6,4,26605,64.14,192.12,1.00,69.99
28027,55435.00,Cabarrus,North Carolina,7,1,8,14,7,5,9,6,53218,98.49,230.55,1.00,35
28075,16143.00,Cabarrus,North Carolina,7,0,7,13,7,7,9,8,2737,138.37,230.63,1.00,35
28081,25190.00,Cabarrus,North Carolina,4,0,4,10,4,4,6,5,20220,104.93,245.37,1.00,69.99
28083,23820.00,Cabarrus,North Carolina,3,0,3,9,3,3,5,4,11298,121.69,230.61,1.00,69.99
28107,6422.00,Cabarrus,North Carolina,7,0,7,13,6,6,8,7,156,32.36,88.11,1.00,35
28124,6622.00,Cabarrus,North Carolina,4,0,4,10,3,3,5,4,157,25.21,78.2,0.94,69.99
25755,NULL,Cabell,West Virginia,,,0,,,,,,,,,,
25504,12661.00,Cabell,West Virginia,5,2,7,12,3,3,6,3,1017,23.73,52.08,0.95,34.99
25510,5074.00,Cabell,West Virginia,5,1,6,11,3,3,5,3,908,70.95,224.69,0.97,40
25537,1993.00,Cabell,West Virginia,3,1,4,9,2,2,4,2,0,0,0,0.84,40
25541,9350.00,Cabell,West Virginia,3,2,5,10,2,2,5,2,967,29.83,81.27,0.80,34.99
25545,4512.00,Cabell,West Virginia,4,1,5,10,3,3,5,3,105,57.25,182.41,0.94,40
25559,2152.00,Cabell,West Virginia,3,1,4,8,1,1,3,1,246,59.49,158.63,0.83,76.95
25701,23284.00,Cabell,West Virginia,5,2,7,12,3,3,6,3,12298,113.39,302.54,0.98,34.99
25702,7788.00,Cabell,West Virginia,3,2,5,10,2,2,5,2,788,29.89,92.92,0.99,34.99
25703,6751.00,Cabell,West Virginia,2,1,3,8,1,1,3,1,289,45.38,118.58,0.92,79.99
25705,20711.00,Cabell,West Virginia,5,2,7,12,3,3,6,4,21971,92.03,204.92,1.00,34.99
42411,1656.00,Caldwell,Kentucky,4,4,8,13,2,1,4,1,32,6.55,11.2,0.59,66.95
42445,11331.00,Caldwell,Kentucky,4,4,8,13,2,2,4,2,903,22.98,47.16,0.77,69.99
28611,885.00,Caldwell,North Carolina,3,1,4,9,2,2,4,3,,,,0.52,35
28633,NULL,Caldwell,North Carolina,,,0,,,,,,,,,,
28630,20041.00,Caldwell,North Carolina,5,2,7,12,5,4,8,5,1646,78.23,215.96,0.99,55
28638,12302.00,Caldwell,North Carolina,6,2,8,13,6,5,9,6,2530,141.44,223.88,1.00,35
28645,47703.00,Caldwell,North Carolina,8,2,10,15,7,7,10,8,18668,100.18,218.17,0.98,35
36201,20156.00,Calhoun,Alabama,5,0,5,10,5,5,7,6,12504,86.72,220.93,1.00,35
36203,18799.00,Calhoun,Alabama,5,0,5,10,5,5,7,6,11088,71.6,170.49,0.99,35
36205,635.00,Calhoun,Alabama,3,0,3,8,3,3,5,3,682,75.39,181.1,1.00,55
36206,11427.00,Calhoun,Alabama,4,0,4,9,4,4,6,4,6391,72.25,170.52,0.99,35
36207,19801.00,Calhoun,Alabama,6,0,6,11,6,6,8,7,12153,60.63,186.2,0.99,35
36250,4603.00,Calhoun,Alabama,3,1,4,9,3,3,5,3,534,60.94,177.21,1.00,55
36260,4247.00,Calhoun,Alabama,4,0,4,9,3,3,5,4,436,93.64,294.84,0.99,55
36265,21060.00,Calhoun,Alabama,6,1,7,12,6,6,8,6,3771,61.93,169.44,0.93,35
36271,6023.00,Calhoun,Alabama,6,1,7,12,6,4,8,5,1,3.15,3.15,0.77,35
